"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"7955.4-26_10_10_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.4-27_10_10_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.4-28_10_10_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-29_10_11_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-3_10_1_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0.83333333333333	0.16666667	0	0	0
"7955.4-30_10_11_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.5	0.5	0	0
"7955.4-31_10_15_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.5	0.5	0	0
"7955.4-32_10_15_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-33_10_15_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.4-34_10_15_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-35_10_16_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-36_10_16_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-37_10_16_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-38_10_16_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-39_10_17_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0.0238095238095202	0.97619048	0	0	0
"7955.4-4_10_1_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-40_10_17_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-41_10_17_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.4-42_10_17_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.4-43_10_17_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.4-45_10_17_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-47_10_17_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.0344827586206899	0.96551724	0
"7955.4-49_10_19_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.4-5_10_1_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"7955.4-50_10_19_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-51_10_22_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-52_10_22_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-53_10_22_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.58301158301158	0.41698842	0
"7955.4-54_10_22_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-55_10_22_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-58_10_23_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.4-59_10_23_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.36322869955157	0.6367713	0	0
"7955.4-6_10_1_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0.794117647058821	0.20588235	0	0	0
