"StationID"	"VisitNum"	"VisitType"	"GroupNumber"	"NominalTier_Calc"	"NominalMem_Calc"	"SecondTier_Calc"	"SecondMem_Calc"	"NominalTier_QC"	"NominalMem_QC"	"SecondTier_QC"	"SecondMem_QC"
"_NA_"	"12001_1_07-B-056_Kick Net 2M2"	"bug"	1	4	1	NA	0	4	1	4	0
"_NA_"	"12002_1_07-B-057 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12002_1_07-B-057_Kick Net 2M2"	"bug"	1	3	0.811881188118812	4	0.188118811881188	3	0.811881188118812	4	0.188118811881188
"_NA_"	"12007_1_07-B-058 RANQ_Kick Net 2M2"	"bug"	1	6	0.75	5	0.25	6	0.75	5	0.25
"_NA_"	"12007_1_07-B-058 Second_Kick Net 2M2"	"bug"	1	2	0.738095238095238	3	0.261904761904762	2	0.738095238095238	3	0.261904761904762
"_NA_"	"12007_1_07-B-058_Kick Net 2M2"	"bug"	1	2	0.5	3	0.5	2	0.5	3	0.5
"_NA_"	"12008_1_07-B-059 RANQ_Kick Net 2M2"	"bug"	1	5	0.75	6	0.25	5	0.75	6	0.25
"_NA_"	"12008_1_07-B-059_Kick Net 2M2"	"bug"	1	2	0.5	3	0.5	2	0.5	3	0.5
"_NA_"	"12009_1_07-B-060 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12009_1_07-B-060_Kick Net 2M2"	"bug"	1	2	1	NA	0	2	1	2	0
"_NA_"	"12010_1_07-B-061 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12010_1_07-B-061_Kick Net 2M2"	"bug"	1	3	1	NA	0	3	1	3	0
"_NA_"	"12011_1_07-B-062 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12011_1_07-B-062 Second_Kick Net 2M2"	"bug"	1	3	1	NA	0	3	1	3	0
"_NA_"	"12011_1_07-B-062_Kick Net 2M2"	"bug"	1	3	1	NA	0	3	1	3	0
"_NA_"	"12030_1_07-B-063 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12030_1_07-B-063_Kick Net 2M2"	"bug"	1	4	0.968911917098445	5	0.0310880829015545	4	0.968911917098445	5	0.0310880829015545
"_NA_"	"12031_1_07-B-064 RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"12031_1_07-B-064 Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12031_1_07-B-064 Third_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12031_1_07-B-064_Kick Net 2M2"	"bug"	1	5	0.826815642458101	4	0.173184357541899	5	0.826815642458101	4	0.173184357541899
"_NA_"	"12033_1_07-B-066 RANQ_Kick Net 2M2"	"bug"	1	6	0.75	5	0.25	6	0.75	5	0.25
"_NA_"	"12033_1_07-B-066 Second_Kick Net 2M2"	"bug"	1	5	0.557213930348259	4	0.442786069651741	5	0.557213930348259	4	0.442786069651741
"_NA_"	"12033_1_07-B-066_Kick Net 2M2"	"bug"	1	4	0.519607843137255	5	0.480392156862745	4	0.519607843137255	5	0.480392156862745
"_NA_"	"12034_1_07-B-067 RANQ_Kick Net 2M2"	"bug"	1	6	0.75	5	0.25	6	0.75	5	0.25
"_NA_"	"12034_1_07-B-067 Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12034_1_07-B-067_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12035_1_07-B-068 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12035_1_07-B-068 Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12035_1_07-B-068_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12036_1_07-B-069 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12036_1_07-B-069 Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12036_1_07-B-069_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12037_1_07-B-070 RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"12037_1_07-B-070 Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12037_1_07-B-070_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12038_1_07-B-071 RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"12038_1_07-B-071 Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12038_1_07-B-071_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12046_1_07-B-078 First_Kick Net 2M2"	"bug"	1	4	1	NA	0	4	1	4	0
"_NA_"	"12046_1_07-B-078 Fourth_Kick Net 2M2"	"bug"	1	4	1	NA	0	4	1	4	0
"_NA_"	"12046_1_07-B-078 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12046_1_07-B-078 Second_Kick Net 2M2"	"bug"	1	4	1	NA	0	4	1	4	0
"_NA_"	"12046_1_07-B-078 Third_Kick Net 2M2"	"bug"	1	4	0.5	5	0.5	4	0.5	5	0.5
"_NA_"	"12051_1_07-B-080 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"12051_1_07-B-080_Kick Net 2M2"	"bug"	1	2	0.5	3	0.5	2	0.5	3	0.5
"_NA_"	"12052_1_07-B-081 RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
