"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"12031_1_07-B-064_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.1731843575419	0.82681564	0
"12033_1_07-B-066 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.25	0.75
"12033_1_07-B-066 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.44278606965174	0.55721393	0
"12033_1_07-B-066_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.51960784313725	0.48039216	0
"12034_1_07-B-067 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.25	0.75
"12034_1_07-B-067 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12034_1_07-B-067_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12035_1_07-B-068 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12035_1_07-B-068 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12035_1_07-B-068_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12036_1_07-B-069 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12036_1_07-B-069 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12036_1_07-B-069_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12037_1_07-B-070 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"12037_1_07-B-070 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12037_1_07-B-070_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12038_1_07-B-071 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"12038_1_07-B-071 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12038_1_07-B-071_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12046_1_07-B-078 First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"12046_1_07-B-078 Fourth_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"12046_1_07-B-078 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12046_1_07-B-078 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"12046_1_07-B-078 Third_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.5	0.5	0
"12051_1_07-B-080 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12051_1_07-B-080_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"12052_1_07-B-081 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12052_1_07-B-081_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"12053_1_07-B-082 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.5	0.5
"12053_1_07-B-082 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12053_1_07-B-082 Third_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.50442477876106	0.49557522	0
"12053_1_07-B-082_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"12054_1_07-B-083 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"12054_1_07-B-083 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.88340807174888	0.11659193	0
"12054_1_07-B-083_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"12055_1_07-B-084 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"12055_1_07-B-084 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"12055_1_07-B-084_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.86170212765957	0.13829787	0
"12057_1_07-B-086 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"12057_1_07-B-086 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
